VCP APP {}
NOS3 CCNF {}
CASP3 NCSTN {}
TNFRSF21 EIF2S1 {}
TNFRSF21 HFE {}
TNFRSF21 CALM1 {}
TNFRSF21 RELN {}
EIF2S1 MAPT {}
HFE GPX1 {}
CALM1 PGRMC1 {}
RELN NQO1 {}
RELN DNM1L {}
RELN ENO1 {}
BAG5 WWOX {}
IGF2 HNRNPA2B1 {}
IGF2 TYROBP {}
DCTN1 PICALM {}
DCTN1 PINK1 {}
C9orf72 PPARGC1A {}
C9orf72 HSPA9 {}
GPX1 MAP3K5 {}
GPX1 EPHA1 {}
GPX1 SETX {}
EPHA1 SETX {}
EPHA1 CCNF {}
SETX CCNF {}
IGF2R DRD1 {}
IGF2R CRH {}
DRD1 HSPA9 {}
DRD1 MAOB {}
DRD1 IGF1R {}
DRD1 CRH {}
DRD1 UNC13A {}
CRH IGF1R {}
CRH UNC13A {}
UBQLN2 APOE {}
UBQLN2 HSPA9 {}
UBQLN2 SNCA {}
UBQLN2 PSEN2 {}
GFAP HSPA9 {}
GFAP MAOB {}
GFAP VPS35 {}
GFAP DPP6 {}
GFAP GSK3B {}
GFAP MAPT {}
HSPA9 DPP6 {}
HSPA9 VPS35 {}
HSPA9 FBP1 {}
HSPA9 HNRNPA2B1 {}
HSPA9 VAPB {}
HSPA9 HGF {}
MAOB DPP6 {}
MAOB VPS35 {}
MAOB FBP1 {}
VPS35 UNC13A {}
VPS35 FBP1 {}
PPARGC1A BCL2 {}
BCL2 HSPA1A {}
OPTN GSR {}
ATXN2 HNRNPA2B1 {}
ATXN2 APOC1 {}
ATXN2 HLA-DRB5 {}
HNRNPA2B1 APOE {}
HNRNPA2B1 PTGS2 {}
APOC1 PPARG {}
EPHA4 GSR {}
GSR PPARG {}
GSR DHCR24 {}
GSR TP53 {}
GSR CD2AP {}
GSR INS {}
PPARG INS {}
CDK5 APOE {}
CDK5 DPYSL2 {}
CDK5 PARK2 {}
CDK5 CAMK1G {}
CDK5 PSEN2 {}
HNRNPA1 RPL14 {}
HNRNPA1 WWOX {}
HNRNPA1 IDE {}
PICALM PINK1 {}
WWOX NOS1 {}
WWOX FBP1 {}
WWOX CD2AP {}
WWOX LEP {}
PTGS2 RPS8 {}
TYROBP HGF {}
CAMK1G APOE {}
CAMK1G PON1 {}
CAMK1G TREM2 {}
CAMK1G RPS8 {}
CAMK1G PSEN2 {}
TREM2 PSEN2 {}
PSEN2 APOE {}
PSEN2 DPYSL2 {}
PSEN2 PON1 {}
PSEN2 RPS8 {}
UNC13A IGF1R {}
BACE1 RPS8 {}
BACE1 PSEN1 {}
BACE1 BAX {}
BACE1 FUS {}
APOE DPYSL2 {}
APOE RPS8 {}
DHCR24 ADAM10 {}
TP53 CD2AP {}
TNF PARK2 {}
BAX IDE {}
ADAM10 PON1 {}
ENO1 PGRMC1 {}
PGRMC1 PON1 {}
PON1 GDNF {}
