PSEN2 TNF {}
HLA-DRB5 PARK7 {}
HLA-DRB5 AMFR {}
GAPDHS RPS8 {}
GAPDHS TALDO1 {}
GAPDHS UBQLN2 {}
OPTN GSR {}
TALDO1 INS {}
TALDO1 TARDBP {}
TALDO1 BAX {}
TALDO1 NCSTN {}
F2 TP53 {}
NOTCH3 MAP3K5 {}
PARK7 TBK1 {}
PARK7 IGF1 {}
PARK7 ENO1 {}
PARK7 TP53 {}
PARK7 AMFR {}
ENO1 AMFR {}
AMFR TBK1 {}
AMFR CALM1 {}
AMFR IGF1 {}
AMFR TP53 {}
DHCR24 PICALM {}
CRH TP53 {}
CRH GSK3B {}
CRH NQO1 {}
CRH RPL23A {}
TBK1 CALM1 {}
TBK1 TP53 {}
GDNF TFAM {}
HTRA1 BAX {}
ADAM10 PGRMC1 {}
NQO1 UBQLN2 {}
TFAM IGF1 {}
PPARG DRD1 {}
DRD1 IGF1 {}
IGF1 IL1B {}
